"URL","File Size","Outlinks","Content Tyoe"
"https://www.wsj.com/articles/ousted-malaysian-leader-najib-arrested-to-face-new-charges-in-1mdb-scandal-1537350993","1058245","272","text/html"
"https://www.wsj.com/articles/ban-on-political-party-chills-hong-kong-opposition-groups-1537771725","1049635","263","text/html"
"https://www.wsj.com/articles/korean-leaders-take-diplomacy-to-new-heights-1537437823","1056810","268","text/html"
"https://www.wsj.com/articles/pompeo-will-go-to-north-korea-in-october-he-tells-ministers-1538064430","1056835","262","text/html"
"https://www.wsj.com/articles/in-korea-worlds-scariest-border-to-become-less-scary-1537531348","1034916","259","text/html"
"https://www.wsj.com/articles/philippine-president-duterte-arrests-critic-ending-three-week-showdown-1537873029","1053399","267","text/html"
"https://www.wsj.com/articles/south-korean-warship-sails-by-disputed-south-china-sea-islands-1538127139","1055618","268","text/html"
"https://www.wsj.com/articles/singapore-authorities-question-deutsche-bank-executive-over-1mdb-scandal-1537193768","1048942","263","text/html"
"https://www.wsj.com/articles/u-s-north-korean-relations-have-improved-cia-chief-says-1537808458","1051925","266","text/html"
"https://www.wsj.com/articles/search-for-survivors-continues-as-typhoon-mangkhut-cleanup-begins-1537185245","1068535","264","text/html"
"https://www.wsj.com/articles/koreas-talks-begin-with-goodwill-if-no-quick-results-1537270274","1068515","270","text/html"
"https://www.wsj.com/articles/pakistani-court-orders-former-prime-minister-sharif-freed-on-bail-1537358378","1051535","262","text/html"
"https://www.wsj.com/articles/kim-jong-un-and-moon-jae-in-kick-off-three-day-summit-in-pyongyang-1537235070","1062186","264","text/html"
"https://www.wsj.com/articles/pompeo-meets-with-north-korean-foreign-minister-at-united-nations-1537984004","1057962","264","text/html"
"https://www.wsj.com/articles/u-n-calls-for-genocide-charges-against-leaders-of-myanmars-military-1537282718","1058753","268","text/html"
"https://www.wsj.com/articles/south-korea-says-pyongyang-willing-to-open-up-nuclear-weapons-test-site-1537456061","1057932","262","text/html"
"https://www.wsj.com/articles/vietnamese-president-tran-dai-quang-dies-of-illness-1537543951","1046756","261","text/html"
"https://www.wsj.com/articles/u-s-japan-agree-to-negotiations-on-a-trade-deal-1537992331","1047715","260","text/html"
"https://www.wsj.com/articles/pakistan-takes-emergency-steps-to-patch-budget-1537278279","1054993","264","text/html"
"https://www.wsj.com/articles/trudeau-presses-for-right-deal-for-canada-on-trade-1537981197?mod=article_inline","1053077","263","text/html"
"https://www.wsj.com/articles/senate-judiciary-committee-prepares-to-vote-on-kavanaugh-this-morning-1538134779?mod=article_inline","1062668","276","text/html"
"https://www.wsj.com/articles/sen-jeff-flake-emerges-as-key-vote-in-kavanaugh-nomination-1538128800?mod=article_inline","1056969","276","text/html"
"https://www.wsj.com/news/author/8468","430100","247","text/html"
"https://www.wsj.com/articles/harold-hamms-ex-wife-rejects-975-million-divorce-settlement-check-1420590602?mod=article_inline","1050731","265","text/html"
"https://www.wsj.com/news/author/8116","430149","247","text/html"
"https://www.wsj.com/amp/articles/at-fundraiser-trump-praises-tremendous-kavanaugh-claims-upper-hand-on-trade-1538138060","54542","33","text/html"
"https://www.wsj.com/articles/on-day-of-high-stakes-hearing-kavanaugh-and-accuser-prepare-to-testify-1538052956?mod=article_inline","1080404","276","text/html"
"https://www.wsj.com/articles/senate-weighs-judges-fate-after-emotional-hearing-1538091633?mod=article_inline","1057822","270","text/html"
"https://www.wsj.com/articles/getty-family-to-regain-majority-stake-of-getty-images-1536082959","1046075","262","text/html"
"https://www.wsj.com/articles/lawmakers-press-alphabet-and-apple-on-smartphone-users-privacy-1531158030","1055328","267","text/html"
"https://www.wsj.com/articles/blood-testing-firm-theranos-to-dissolve-1536115130","1055957","271","text/html"
"https://www.wsj.com/articles/the-rise-of-the-cio-in-the-c-suite-1520993400","1076797","304","text/html"
"https://www.wsj.com/articles/imf-expands-aid-package-for-argentina-1537997055","1051587","262","text/html"
"https://www.wsj.com/articles/murder-by-the-numbers-1537476801","1045419","259","text/html"
"https://www.wsj.com/articles/mexico-officials-uncovers-mass-grave-in-veracruz-1536272681","1051487","262","text/html"
"https://www.wsj.com/articles/fire-engulfs-brazils-national-museum-in-rio-1535982330","985449","41","text/html"
"https://www.wsj.com/articles/brazils-budget-deficit-narrowed-in-july-1535723760","1041400","258","text/html"
"https://www.wsj.com/articles/brazils-sky-high-lending-rates-hurt-consumersand-economic-growth-1535707800","1073309","266","text/html"
"https://www.wsj.com/articles/400-murders-a-day-the-crisis-of-latin-america-1537455390","1309708","59","text/html"
"https://www.wsj.com/articles/support-for-wounded-candidate-jumps-in-brazil-presidential-poll-1536593541","1050202","261","text/html"
"https://www.wsj.com/articles/guatemalas-president-shuts-down-u-n-commission-1535755285","1051911","263","text/html"
"https://www.wsj.com/articles/brazils-da-silva-to-step-aside-name-haddad-as-replacement-candidate-1536686437","1054546","260","text/html"
"https://www.wsj.com/articles/argentinas-economy-contracted-amid-crisis-1537991311","1047975","260","text/html"
"https://www.wsj.com/articles/colombia-struggles-to-control-border-overrun-by-desperate-venezuelans-1537444801","1008920","49","text/html"
"https://www.wsj.com/articles/one-stabbed-one-jailed-rivals-fates-jolt-brazils-presidential-race-1536663601","1073599","265","text/html"
"https://www.wsj.com/articles/mexican-consumer-prices-rise-less-than-expected-1537797388","1044472","258","text/html"
"https://www.wsj.com/articles/lopez-obrador-to-name-independent-economist-to-mexico-central-bank-1537971296","1051852","267","text/html"
"https://www.wsj.com/articles/argentina-central-bank-president-resigns-1537885453","1050100","261","text/html"
"https://www.wsj.com/articles/argentina-to-impose-temporary-tax-on-exports-1535991315","1049080","262","text/html"
"https://www.wsj.com/articles/survey-shows-common-crime-rose-in-mexico-in-2017-1537901351","1046400","260","text/html"
"https://www.wsj.com/articles/brazilian-presidential-candidate-stabbed-while-campaigning-1536272700","1047702","258","text/html"
"https://www.wsj.com/articles/argentinas-economy-shrank-in-second-quarter-1537387455","1046027","259","text/html"
"https://www.wsj.com/articles/brazil-candidate-vows-to-remain-in-campaign-despite-knife-attack-1536335587","1051535","261","text/html"
"https://www.wsj.com/articles/mexicos-president-elect-prepares-labor-overhaul-to-empower-workers-1536704229","1052169","264","text/html"
